
region_id,preferred_label_en,preferred_label_jp,broader_region_id,region_type,scope_note,use_when,do_not_use_when,example_original_terms,observed_in_tagged_v03_count,notes
GLOBAL,Global / Worldwide,全世界,,scale,"Worldwide, cross-regional, or international-system-level geographic scale.","Use for worldwide, cross-regional, or international-system-level records when no specific geographic region is primary.",Do not use merely because an international organization such as the UN or ICJ appears; store organizations in organization_ids.,世界;各国;諸外国;world;foreign countries;worldwide opinion,0,UN and ICJ should be handled with organization_ids. Use GLOBAL only when the record's geographic scale is worldwide or cross-regional.
AFRICA,Africa,アフリカ,,continent,"African continent and African countries or territories, including colonial and pre-independence territories.","Use for Africa/African countries/territories, China-Africa files, Afro-Asian records, or records framing North African states as part of Africa.","Do not use only because a country has African diaspora relevance; for Middle East framing of Egypt, use MIDEAST and possibly NORTH_AFRICA.",アフリカ;アフリカ諸国;中近東アフリカ諸国;Africa;African countries,22,Use with african_independence_dates.csv to judge whether countries were independent at the record date.
NORTH_AFRICA,North Africa,北アフリカ,AFRICA,subregion,"Northern African states and territories such as Egypt, Libya, Tunisia, Algeria, Morocco, and sometimes Sudan depending on source framing.",Use when a record specifically concerns North African countries or when Egypt/Libya/Algeria appear in Middle East-North Africa contexts.,Do not use for all Africa records automatically.,北アフリカ;エジプト;リビア;アルジェリア;チュニジア;モロッコ,0,Can be combined with MIDEAST for Arab-Israeli or Middle East conflict records.
SUBSAHARAN_AFRICA,Sub-Saharan Africa,サハラ以南アフリカ,AFRICA,subregion,"Africa south of the Sahara, especially when distinguished from North Africa.",Use when the record explicitly distinguishes sub-Saharan Africa or concerns countries south of the Sahara as a region.,Do not apply automatically to every African country; use AFRICA for broader records.,サハラ以南;ブラック・アフリカ;熱帯アフリカ;Sub-Saharan Africa,0,Historical Japanese terms such as ブラック・アフリカ require caution and should be preserved in original_terms.
SOUTHERN_AFRICA,Southern Africa,南部アフリカ,AFRICA,subregion,"Southern African region including South Africa, Namibia/South West Africa, Angola, Mozambique, Rhodesia/Zimbabwe, Zambia, etc. depending on context.","Use for apartheid, Namibia/South West Africa, Rhodesia/Zimbabwe, Angola/Mozambique liberation, and southern African conflict/decolonization contexts.",Do not use for South Africa alone unless the record frames it regionally.,南部アフリカ;南阿連邦;南西アフリカ;ローデシア;アンゴラ;モザンビーク,0,Useful with political_status_at_time and historical_area_ids.
MIDEAST,Middle East / Near East,中東・中近東,,macroregion,"Middle Eastern or Near Eastern region, including West Asia and sometimes Egypt/North Africa when the source frames them as Middle Eastern.","Use for 中東, 中近東, 近東, Arab-Israeli conflict, Lebanon, Gulf states, Iran-Iraq conflict, and Middle East question files.",Do not use for all Muslim-majority countries automatically; use the source framing.,中東;中近東;近東;中東問題;中近東アフリカ諸国;Middle East;Near East,26,Egypt may be MIDEAST;NORTH_AFRICA rather than AFRICA when the file is about Middle East conflict.
ASIA,Asia,アジア,,continent/macroregion,Broad Asia-related records or Asian countries collectively.,"Use for Asia-wide records, Asian countries as a group, and Afro-Asian conference records.",Do not use as the only region when a narrower subregion is clearly the main subject.,アジア;アジア諸国;中国・アジア諸国;Asia;Asian countries,31,Often combined with AFRICA for Asian-African Conference records.
EAST_ASIA,East Asia,東アジア,ASIA,subregion,"East Asian countries and political entities, especially China, Japan, Korea, Taiwan, and Mongolia.","Use for China, Japan, Korea, Taiwan, Mongolia, and East Asian diplomacy when regionally framed.",Do not use merely because PRC/ROC appears in a global UN record unless East Asia is a meaningful geographic dimension.,東アジア;極東;中国;日本;韓国;北朝鮮;台湾;モンゴル;Far East,0,Preserve original terms such as 中国 separately; entity interpretation belongs in interpreted_entity_ids.
SOUTHEAST_ASIA,Southeast Asia,東南アジア,ASIA,subregion,Southeast Asian countries and regional diplomacy.,"Use for Indonesia, Burma/Myanmar, Thailand, Laos, Cambodia, Vietnam, Malaysia, Singapore, Philippines, ASEAN, and Bandung host context if needed.",Do not use for all Afro-Asian records unless Southeast Asia is specifically relevant.,東南アジア;南東アジア;インドネシア;ビルマ;タイ;ラオス;カンボディア;ヴィエトナム;ASEAN,0,Useful for PRG/Vietnam UN participation files and Bandung/Indonesia-centered files.
SOUTH_ASIA,South Asia,南アジア,ASIA,subregion,South Asian countries and regional diplomacy.,"Use for India, Pakistan, Ceylon/Sri Lanka, Nepal, Afghanistan, and South Asian positions in Bandung or UN diplomacy.",Do not use for Middle East or Southeast Asia records.,南アジア;インド;パキスタン;セイロン;ネパール;アフガニスタン,0,Afghanistan may be SOUTH_ASIA in older diplomatic groupings depending on source framing.
ASIA_PACIFIC,Asia-Pacific,アジア太平洋,,macroregion,Asia-Pacific regional diplomacy and Pacific-facing diplomatic/security records.,"Use for explicit Asia-Pacific or Pacific regional framing, including Asia-Pacific overseas mission chiefs meetings.",Do not use for all Asia records.,アジア太平洋;アジア・太平洋;太平洋;Pacific;Asia-Pacific,4,May include Australia and New Zealand in Pacific-oriented diplomatic groupings.
OCEANIA,Oceania / Pacific,オセアニア・太平洋,,region,Oceania and Pacific island or Australasian regional context.,"Use for Australia, New Zealand, Pacific island states, or Oceania-specific records.",Do not use when Australia/New Zealand appear only as members of a wider Asia-Pacific or Commonwealth grouping unless regionally relevant.,オーストラリア;ニュー・ジーランド;太平洋諸国;Oceania;Pacific,0,ASIA_PACIFIC may be better for Japan-centered regional diplomacy.
AFRO_ASIA,Afro-Asia / Asian-African World,アジア・アフリカ,,geopolitical/diplomatic region,Cold War Afro-Asian political and diplomatic space.,"Use for Bandung, Asian-African Conference, AAPSO, Afro-Asian solidarity, and Asia-Africa diplomatic framing.",Do not use merely because one Asian and one African country appear without Afro-Asian framing.,アジア・アフリカ;アジア・アフリカ諸国;Afro-Asian;Asian-African,5,A geopolitical/diplomatic region rather than a physical region.
EUROPE,Europe,欧州・ヨーロッパ,,continent/macroregion,European countries and European diplomacy broadly.,Use for Europe-wide records or European states when the file is regionally framed.,Do not use for every mention of France/UK/Germany if Europe is not a meaningful subject.,欧州;ヨーロッパ;Europe;西欧;東欧,0,Use WESTERN_EUROPE or EASTERN_EUROPE when the source distinguishes them.
WESTERN_EUROPE,Western Europe,西欧,EUROPE,subregion,"Western European countries and regional diplomacy, especially EC/NATO-era Western Europe.","Use for 西欧, EC, France, UK, Italy, Spain, Benelux, West Germany in Western European diplomatic grouping.",Do not use for all Europe records; use only when western European framing is explicit.,西欧;EC;フランス;イギリス;イタリア;スペイン;西独,0,"For West German diplomacy, region_ids may be EUROPE;WESTERN_EUROPE."
EASTERN_EUROPE,Eastern Europe,東欧,EUROPE,subregion,"Eastern European countries, especially Cold War-era socialist Eastern Europe excluding or including USSR depending on source wording.","Use for 東欧, ソ連東欧諸国, Czechoslovakia, Poland, Hungary, Yugoslavia, Bulgaria, Albania, etc. when regionally framed.",Do not use for SOCIALIST_BLOC as a political bloc without geographic East Europe relevance; that belongs in bloc_ids.,東欧;ソ連東欧諸国;チェコ;ポーランド;ハンガリー;ユーゴスラヴィア;ブルガリア;アルバニア,0,"SOCIALIST_BLOC should be a bloc_id, not a region_id."
AMERICAS,Americas,米州,,macroregion,"North, Central, South America and Caribbean countries when grouped as the Americas.","Use for 米州, Western Hemisphere, or records grouping Canada, US, Latin America, and Caribbean countries.",Do not use if the file is specifically about the United States; use NORTH_AMERICA then.,米州;アメリカ州;カナダ;メキシコ;ブラジル;ペルー;ウルグアイ;Western Hemisphere,0,Useful for ICJ election regional vote files.
NORTH_AMERICA,North America,北米,AMERICAS,subregion,"North American region, especially United States and Canada in Japan's North America Bureau contexts.","Use for US politics, Japan-US relations, Canada, or North America-centered records.",Do not use for Latin America or all Western Hemisphere records.,北米;米国;カナダ;日米関係;United States;Canada;North America,0,"For 米国政治 files, region_ids should be NORTH_AMERICA even when foreign-policy sections cover other regions."
LATIN_AMERICA,Latin America,ラテンアメリカ・中南米,AMERICAS,subregion,"Latin American countries, including Central and South America and sometimes the Caribbean depending on source framing.","Use for 中南米, Latin America, and records involving Nicaragua, El Salvador, Brazil, Peru, Uruguay, Paraguay, Argentina etc. in regional context.",Do not use for United States/Canada-centered records unless Latin America is a substantive subject.,中南米;ラテンアメリカ;ニカラグア;エルサルバドル;ブラジル;ペルー;ウルグアイ;アルゼンティン,0,CENTRAL_AMERICA may be added when Nicaragua/El Salvador are specifically central.
CENTRAL_AMERICA,Central America,中米,LATIN_AMERICA,subregion,Central American countries and conflicts.,"Use for Nicaragua, El Salvador, Guatemala, Honduras, Costa Rica, Panama, Belize, or Central America as a diplomatic/security region.",Do not use for Latin America broadly unless Central America is specifically highlighted.,中米;ニカラグア;エルサルバドル;米国中米特使;Central America,0,Useful for US politics/foreign policy files involving Nicaragua and El Salvador.
CARIBBEAN,Caribbean,カリブ海地域,LATIN_AMERICA,subregion,Caribbean countries and territories.,"Use for Caribbean island states and territories, especially in Latin American voting/attitude files.",Do not use for all Latin America records.,カリブ;カリブ海;ドミニカ;ハイチ;キューバ;Caribbean;West Indies,0,Can be combined with LATIN_AMERICA.

"record_id","mofa_material_id","source_url","legacy_archive_id","legacy_record_id","volume","title_jp","title_en","release_status","years","primary_subject_jp","primary_subject_en","region_ids","reaction_region_ids","entity_ids","organization_ids","related_organization_ids","event_ids","bloc_ids","keyword_ids","analytical_context_ids","entity_review_required","source_verified_note"
"mofa_100_023525","100-023525","https://da.mofa.go.jp/material-detail?id=100-023525","B'.6.1.0.34","アジア・アフリカ人民連帯会議関係一件（アジア・アフリカ諸国民会議関係を含む）　第3巻","Records Relating to the Afro-Asian People's Solidarity Conference, Including the Conference of Asian and African Peoples (Vol. 3)","Access Review Required","","アジア・アフリカ人民連帯会議／AAPSO系会議（第3巻）","Afro-Asian People's Solidarity Conference / AAPSO Conference Series (Vol. 3)","Africa; Afro-Asia / Asian-African World; Asia; Middle East / Near East","アフリカ; アジア・アフリカ; アジア; 中東・中近東","","","Egypt; Indonesia; Iran; Iraq; Japan; People's Republic of China; Soviet Union","エジプト; インドネシア; イラン; イラク; 日本; 中華人民共和国; ソ連","Afro-Asian People's Solidarity Organization","アジア・アフリカ人民連帯機構","","","Afro-Asian People's Solidarity Conference / AAPSO Conference Series","アジア・アフリカ人民連帯会議／AAPSO系会議","","","Afro-Asian People's Solidarity; Afro-Asian Solidarity; Economic Cooperation; National Liberation Movement; Pan-Africanism; People's Diplomacy; Third World Diplomacy","アジア・アフリカ人民連帯; アジア・アフリカ連帯; 経済協力; 民族解放運動; パン・アフリカ主義; 人民外交／民間外交; 第三世界外交","","","アジア・アフリカ人民連帯会議関係一件（アジア・アフリカ諸国民会議関係を含む）　第3巻; アジア・アフリカ人民連帯会議／AAPSO系会議（第3巻）; アフリカ; アジア・アフリカ; アジア; 中東・中近東; エジプト; インドネシア; イラン; イラク; 日本; 中華人民共和国; ソ連; アジア・アフリカ人民連帯機構; アジア・アフリカ人民連帯会議／AAPSO系会議; アジア・アフリカ人民連帯; アジア・アフリカ連帯; 経済協力; 民族解放運動; パン・アフリカ主義; 人民外交／民間外交; 第三世界外交; B'.6.1.0.34; 100-023525","Records Relating to the Afro-Asian People's Solidarity Conference, Including the Conference of Asian and African Peoples (Vol. 3); Afro-Asian People's Solidarity Conference / AAPSO Conference Series (Vol. 3); Africa; Afro-Asia / Asian-African World; Asia; Middle East / Near East; Egypt; Indonesia; Iran; Iraq; Japan; People's Republic of China; Soviet Union; Afro-Asian People's Solidarity Organization; Afro-Asian People's Solidarity Conference / AAPSO Conference Series; Afro-Asian People's Solidarity; Afro-Asian Solidarity; Economic Cooperation; National Liberation Movement; Pan-Africanism; People's Diplomacy; Third World Diplomacy; B'.6.1.0.34; 100-023525","アジア・アフリカ人民連帯会議関係一件（アジア・アフリカ諸国民会議関係を含む）　第3巻; アジア・アフリカ人民連帯会議／AAPSO系会議（第3巻）; アフリカ; アジア・アフリカ; アジア; 中東・中近東; エジプト; インドネシア; イラン; イラク; 日本; 中華人民共和国; ソ連; アジア・アフリカ人民連帯機構; アジア・アフリカ人民連帯会議／AAPSO系会議; アジア・アフリカ人民連帯; アジア・アフリカ連帯; 経済協力; 民族解放運動; パン・アフリカ主義; 人民外交／民間外交; 第三世界外交; B'.6.1.0.34; 100-023525; Records Relating to the Afro-Asian People's Solidarity Conference, Including the Conference of Asian and African Peoples (Vol. 3); Afro-Asian People's Solidarity Conference / AAPSO Conference Series (Vol. 3); Africa; Afro-Asia / Asian-African World; Asia; Middle East / Near East; Egypt; Indonesia; Iran; Iraq; Japan; People's Republic of China; Soviet Union; Afro-Asian People's Solidarity Organization; Afro-Asian People's Solidarity Conference / AAPSO Conference Series; Afro-Asian People's Solidarity; Afro-Asian Solidarity; Economic Cooperation; National Liberation Movement; Pan-Africanism; People's Diplomacy; Third World Diplomacy; B'.6.1.0.34; 100-023525; ASIA;AFRICA;MIDEAST;AFRO_ASIA; JPN;PRC;USSR;IDN;IRQ;EGY;IRN; AAPSO; AAPSO_CONFERENCE_SERIES; AAPSO;AFRO_ASIAN_SOLIDARITY;PEOPLES_DIPLOMACY;THIRD_WORLD;ECON_COOP;PAN_AFRICAN;NATIONAL_LIBERATION_MOVEMENT"
"mofa_100_013468","100-013468","https://da.mofa.go.jp/material-detail?id=100-013468","B'.6.1.0.34","アジア・アフリカ人民連帯会議関係一件（アジア・アフリカ諸国民会議関係を含む）　第4巻","Records Relating to the Afro-Asian People's Solidarity Conference, Including the Conference of Asian and African Peoples (Vol. 4)","Access Review Required","","AAPSO系会議：組織構造・委員会・経済ゼミナール（第4巻）","AAPSO Conference Series: Organizational Structure, Committees, and Economic Seminars (Vol. 4)","Africa; Afro-Asia / Asian-African World; Asia; Middle East / Near East","アフリカ; アジア・アフリカ; アジア; 中東・中近東","","","Egypt; Indonesia; Iran; Iraq; Japan; People's Republic of China; Soviet Union","エジプト; インドネシア; イラン; イラク; 日本; 中華人民共和国; ソ連","Afro-Asian People's Solidarity Organization","アジア・アフリカ人民連帯機構","","","Afro-Asian People's Solidarity Conference / AAPSO Conference Series","アジア・アフリカ人民連帯会議／AAPSO系会議","","","Afro-Asian People's Solidarity; Afro-Asian Solidarity; Committee Activities; Economic Cooperation; Economic Seminar; National Liberation Movement; Organizational Structure; Pan-Africanism; People's Diplomacy; Third World Diplomacy; Transnational Political Organization","アジア・アフリカ人民連帯; アジア・アフリカ連帯; 委員会活動; 経済協力; 経済ゼミナール; 民族解放運動; 組織構造; パン・アフリカ主義; 人民外交／民間外交; 第三世界外交; 越境的政治組織","","","アジア・アフリカ人民連帯会議関係一件（アジア・アフリカ諸国民会議関係を含む）　第4巻; AAPSO系会議：組織構造・委員会・経済ゼミナール（第4巻）; アフリカ; アジア・アフリカ; アジア; 中東・中近東; エジプト; インドネシア; イラン; イラク; 日本; 中華人民共和国; ソ連; アジア・アフリカ人民連帯機構; アジア・アフリカ人民連帯会議／AAPSO系会議; アジア・アフリカ人民連帯; アジア・アフリカ連帯; 委員会活動; 経済協力; 経済ゼミナール; 民族解放運動; 組織構造; パン・アフリカ主義; 人民外交／民間外交; 第三世界外交; 越境的政治組織; B'.6.1.0.34; 100-013468","Records Relating to the Afro-Asian People's Solidarity Conference, Including the Conference of Asian and African Peoples (Vol. 4); AAPSO Conference Series: Organizational Structure, Committees, and Economic Seminars (Vol. 4); Africa; Afro-Asia / Asian-African World; Asia; Middle East / Near East; Egypt; Indonesia; Iran; Iraq; Japan; People's Republic of China; Soviet Union; Afro-Asian People's Solidarity Organization; Afro-Asian People's Solidarity Conference / AAPSO Conference Series; Afro-Asian People's Solidarity; Afro-Asian Solidarity; Committee Activities; Economic Cooperation; Economic Seminar; National Liberation Movement; Organizational Structure; Pan-Africanism; People's Diplomacy; Third World Diplomacy; Transnational Political Organization; B'.6.1.0.34; 100-013468","アジア・アフリカ人民連帯会議関係一件（アジア・アフリカ諸国民会議関係を含む）　第4巻; AAPSO系会議：組織構造・委員会・経済ゼミナール（第4巻）; アフリカ; アジア・アフリカ; アジア; 中東・中近東; エジプト; インドネシア; イラン; イラク; 日本; 中華人民共和国; ソ連; アジア・アフリカ人民連帯機構; アジア・アフリカ人民連帯会議／AAPSO系会議; アジア・アフリカ人民連帯; アジア・アフリカ連帯; 委員会活動; 経済協力; 経済ゼミナール; 民族解放運動; 組織構造; パン・アフリカ主義; 人民外交／民間外交; 第三世界外交; 越境的政治組織; B'.6.1.0.34; 100-013468; Records Relating to the Afro-Asian People's Solidarity Conference, Including the Conference of Asian and African Peoples (Vol. 4); AAPSO Conference Series: Organizational Structure, Committees, and Economic Seminars (Vol. 4); Africa; Afro-Asia / Asian-African World; Asia; Middle East / Near East; Egypt; Indonesia; Iran; Iraq; Japan; People's Republic of China; Soviet Union; Afro-Asian People's Solidarity Organization; Afro-Asian People's Solidarity Conference / AAPSO Conference Series; Afro-Asian People's Solidarity; Afro-Asian Solidarity; Committee Activities; Economic Cooperation; Economic Seminar; National Liberation Movement; Organizational Structure; Pan-Africanism; People's Diplomacy; Third World Diplomacy; Transnational Political Organization; B'.6.1.0.34; 100-013468; ASIA;AFRICA;MIDEAST;AFRO_ASIA; JPN;PRC;USSR;IDN;IRQ;EGY;IRN; AAPSO; AAPSO_CONFERENCE_SERIES; AAPSO;AFRO_ASIAN_SOLIDARITY;PEOPLES_DIPLOMACY;THIRD_WORLD;ECON_COOP;PAN_AFRICAN;NATIONAL_LIBERATION_MOVEMENT;ORGANIZATIONAL_STRUCTURE;COMMITTEE_ACTIVITIES;ECONOMIC_SEMINAR;TRANSNATIONAL_POLITICAL_ORGANIZATION"
"mofa_100_030772","100-030772","https://da.mofa.go.jp/material-detail?id=100-030772","A'.4.1.1.3-1","中華人民共和国内政並びに国情関係雑件　独立関係（承認問題を含む）　第3巻","Miscellaneous Records on Domestic Affairs and Conditions in the People's Republic of China: Independence and Recognition Issues (Vol. 3)","Open","1958-1966","中華人民共和国：独立関係および政権承認問題","PRC: Independence and Recognition Issues","East Asia; Global / Worldwide","東アジア; 全世界","Africa; Europe; Latin America; Middle East / Near East; Southeast Asia","アフリカ; 欧州・ヨーロッパ; ラテンアメリカ・中南米; 中東・中近東; 東南アジア","Argentina; Dahomey / Benin; Brazil; Republic of the Congo; Cuba; Denmark; Ethiopia; Federal Republic of Germany / West Germany; Ghana; Indonesia; Iraq; Kuwait; Laos; Madagascar; Malawi; Malaysia; Nigeria; Nyasaland; Poland; People's Republic of China; Portugal; Republic of China; Sudan; Senegal; Sierra Leone; Tunisia; Turkey; Yemen; Zambia","アルゼンチン; ダホメ／ベナン; ブラジル; コンゴ共和国; キューバ; デンマーク; エチオピア; 西ドイツ／ドイツ連邦共和国; ガーナ; インドネシア; イラク; クウェート; ラオス; マダガスカル; マラウィ; マレーシア; ナイジェリア; ニアサランド; ポーランド; 中華人民共和国; ポルトガル; 中華民国; スーダン; セネガル; シエラレオネ; チュニジア; トルコ; イエメン; ザンビア","","","","","","","","","Diplomatic Recognition; Foreign Government Attitudes; Recognition of Governments; Japanese Diplomatic Reporting; PRC-ROC Competition; Recognition Competition","外交承認; 諸外国政府の態度; 政権承認問題; 日本外交当局の報告; 中華人民共和国・中華民国競合; 承認競争","Decolonization and UN Diplomacy; Postcolonial States and China Representation","脱植民地化と国連外交; ポストコロニアル諸国と中国代表権問題","中華人民共和国内政並びに国情関係雑件　独立関係（承認問題を含む）　第3巻; 中華人民共和国：独立関係および政権承認問題; 東アジア; 全世界; アフリカ; 欧州・ヨーロッパ; ラテンアメリカ・中南米; 中東・中近東; 東南アジア; アルゼンチン; ダホメ／ベナン; ブラジル; コンゴ共和国; キューバ; デンマーク; エチオピア; 西ドイツ／ドイツ連邦共和国; ガーナ; インドネシア; イラク; クウェート; ラオス; マダガスカル; マラウィ; マレーシア; ナイジェリア; ニアサランド; ポーランド; 中華人民共和国; ポルトガル; 中華民国; スーダン; セネガル; シエラレオネ; チュニジア; トルコ; イエメン; ザンビア; 外交承認; 諸外国政府の態度; 政権承認問題; 日本外交当局の報告; 中華人民共和国・中華民国競合; 承認競争; 脱植民地化と国連外交; ポストコロニアル諸国と中国代表権問題; A'.4.1.1.3-1; 100-030772","Miscellaneous Records on Domestic Affairs and Conditions in the People's Republic of China: Independence and Recognition Issues (Vol. 3); PRC: Independence and Recognition Issues; East Asia; Global / Worldwide; Africa; Europe; Latin America; Middle East / Near East; Southeast Asia; Argentina; Dahomey / Benin; Brazil; Republic of the Congo; Cuba; Denmark; Ethiopia; Federal Republic of Germany / West Germany; Ghana; Indonesia; Iraq; Kuwait; Laos; Madagascar; Malawi; Malaysia; Nigeria; Nyasaland; Poland; People's Republic of China; Portugal; Republic of China; Sudan; Senegal; Sierra Leone; Tunisia; Turkey; Yemen; Zambia; Diplomatic Recognition; Foreign Government Attitudes; Recognition of Governments; Japanese Diplomatic Reporting; PRC-ROC Competition; Recognition Competition; Decolonization and UN Diplomacy; Postcolonial States and China Representation; A'.4.1.1.3-1; 100-030772","中華人民共和国内政並びに国情関係雑件　独立関係（承認問題を含む）　第3巻; 中華人民共和国：独立関係および政権承認問題; 東アジア; 全世界; アフリカ; 欧州・ヨーロッパ; ラテンアメリカ・中南米; 中東・中近東; 東南アジア; アルゼンチン; ダホメ／ベナン; ブラジル; コンゴ共和国; キューバ; デンマーク; エチオピア; 西ドイツ／ドイツ連邦共和国; ガーナ; インドネシア; イラク; クウェート; ラオス; マダガスカル; マラウィ; マレーシア; ナイジェリア; ニアサランド; ポーランド; 中華人民共和国; ポルトガル; 中華民国; スーダン; セネガル; シエラレオネ; チュニジア; トルコ; イエメン; ザンビア; 外交承認; 諸外国政府の態度; 政権承認問題; 日本外交当局の報告; 中華人民共和国・中華民国競合; 承認競争; 脱植民地化と国連外交; ポストコロニアル諸国と中国代表権問題; A'.4.1.1.3-1; 100-030772; Miscellaneous Records on Domestic Affairs and Conditions in the People's Republic of China: Independence and Recognition Issues (Vol. 3); PRC: Independence and Recognition Issues; East Asia; Global / Worldwide; Africa; Europe; Latin America; Middle East / Near East; Southeast Asia; Argentina; Dahomey / Benin; Brazil; Republic of the Congo; Cuba; Denmark; Ethiopia; Federal Republic of Germany / West Germany; Ghana; Indonesia; Iraq; Kuwait; Laos; Madagascar; Malawi; Malaysia; Nigeria; Nyasaland; Poland; People's Republic of China; Portugal; Republic of China; Sudan; Senegal; Sierra Leone; Tunisia; Turkey; Yemen; Zambia; Diplomatic Recognition; Foreign Government Attitudes; Recognition of Governments; Japanese Diplomatic Reporting; PRC-ROC Competition; Recognition Competition; Decolonization and UN Diplomacy; Postcolonial States and China Representation; A'.4.1.1.3-1; 100-030772; GLOBAL;EAST_ASIA; AFRICA;LATIN_AMERICA;EUROPE;MIDEAST;SOUTHEAST_ASIA; PRC;ROC;SEN;GHA;CUB;NYASALAND;PRT;ARG;COG;FRG;MYS;BRA;POL;IRQ;MDG;TUR;YEM;ETH;SLE;NGA;DNK;ZMB;SDN;BEN;IDN;MWI;TUN;KWT;LAO; DIPLOMATIC_RECOGNITION;GOVERNMENT_RECOGNITION_ISSUE;RECOGNITION_COMPETITION;PRC_ROC_COMPETITION;FOREIGN_GOVERNMENT_ATTITUDES;JAPANESE_DIPLOMATIC_REPORTING; DECOLONIZATION_AND_UN_DIPLOMACY;POSTCOLONIAL_STATES_AND_CHINA_REPRESENTATION"
"mofa_100_030171","100-030171","https://da.mofa.go.jp/material-detail?id=100-030171","A'.2.2.0.BM/C(C)1","ビルマ・中共間外交関係雑集","Miscellaneous Records on Burma-PRC Diplomatic Relations","Open","1954-1972","ビルマ・中共間外交関係および中共の対ビルマ政治工作","Burma-PRC Diplomatic Relations and PRC Political Work in Burma","East Asia; Southeast Asia","東アジア; 東南アジア","","","Japan; Myanmar/Burma; People's Republic of China; Republic of China","日本; ビルマ／ミャンマー; 中華人民共和国; 中華民国","","","","","","","","","Bilateral Relations; Diplomatic Recognition; Influence Operations; Japanese Diplomatic Reporting; Political Work; PRC-Burma Relations","二国間関係; 外交承認; 影響工作; 日本外交当局の報告; 政治工作; 中共・ビルマ関係","Cold War in Southeast Asia; Regional Security in Southeast Asia; Southeast Asian Communist Politics","東南アジアにおける冷戦; 東南アジアの地域安全保障; 東南アジア共産主義政治","ビルマ・中共間外交関係雑集; ビルマ・中共間外交関係および中共の対ビルマ政治工作; 東アジア; 東南アジア; 日本; ビルマ／ミャンマー; 中華人民共和国; 中華民国; 二国間関係; 外交承認; 影響工作; 日本外交当局の報告; 政治工作; 中共・ビルマ関係; 東南アジアにおける冷戦; 東南アジアの地域安全保障; 東南アジア共産主義政治; A'.2.2.0.BM/C(C)1; 100-030171","Miscellaneous Records on Burma-PRC Diplomatic Relations; Burma-PRC Diplomatic Relations and PRC Political Work in Burma; East Asia; Southeast Asia; Japan; Myanmar/Burma; People's Republic of China; Republic of China; Bilateral Relations; Diplomatic Recognition; Influence Operations; Japanese Diplomatic Reporting; Political Work; PRC-Burma Relations; Cold War in Southeast Asia; Regional Security in Southeast Asia; Southeast Asian Communist Politics; A'.2.2.0.BM/C(C)1; 100-030171","ビルマ・中共間外交関係雑集; ビルマ・中共間外交関係および中共の対ビルマ政治工作; 東アジア; 東南アジア; 日本; ビルマ／ミャンマー; 中華人民共和国; 中華民国; 二国間関係; 外交承認; 影響工作; 日本外交当局の報告; 政治工作; 中共・ビルマ関係; 東南アジアにおける冷戦; 東南アジアの地域安全保障; 東南アジア共産主義政治; A'.2.2.0.BM/C(C)1; 100-030171; Miscellaneous Records on Burma-PRC Diplomatic Relations; Burma-PRC Diplomatic Relations and PRC Political Work in Burma; East Asia; Southeast Asia; Japan; Myanmar/Burma; People's Republic of China; Republic of China; Bilateral Relations; Diplomatic Recognition; Influence Operations; Japanese Diplomatic Reporting; Political Work; PRC-Burma Relations; Cold War in Southeast Asia; Regional Security in Southeast Asia; Southeast Asian Communist Politics; A'.2.2.0.BM/C(C)1; 100-030171; EAST_ASIA;SOUTHEAST_ASIA; MMR;PRC;ROC;JPN; BILAT;PRC_BURMA_RELATIONS;POLITICAL_WORK;INFLUENCE_OPERATIONS;DIPLOMATIC_RECOGNITION;JAPANESE_DIPLOMATIC_REPORTING; COLD_WAR_IN_SOUTHEAST_ASIA;REGIONAL_SECURITY_IN_SOUTHEAST_ASIA;SOUTHEAST_ASIAN_COMMUNIST_POLITICS"

"tag_type","tag_id","preferred_label_en","preferred_label_jp","vocabulary_source"
"analytical_context","COLD_WAR_IN_SOUTHEAST_ASIA","Cold War in Southeast Asia","東南アジアにおける冷戦","controlled_vocabulary_analytical_contexts_v05.csv"
"analytical_context","COLD_WAR_SECURITY_ARCHITECTURE_IN_ASIA","Cold War Security Architecture in Asia","アジアにおける冷戦期安全保障構造","controlled_vocabulary_analytical_contexts_v05.csv"
"analytical_context","COMMUNIST_PARTY_POLITICS","Communist Party Politics","共産党政治","controlled_vocabulary_analytical_contexts_v05.csv"
"analytical_context","DECOLONIZATION_AND_UN_DIPLOMACY","Decolonization and UN Diplomacy","脱植民地化と国連外交","controlled_vocabulary_analytical_contexts_v05.csv"
"analytical_context","FRENCH_COLONIAL_LEGACY_IN_AFRICA","French Colonial Legacy in Africa","アフリカにおけるフランス植民地遺産","controlled_vocabulary_analytical_contexts_v05.csv"
"analytical_context","POSTCOLONIAL_STATES_AND_CHINA_REPRESENTATION","Postcolonial States and China Representation","ポストコロニアル諸国と中国代表権問題","controlled_vocabulary_analytical_contexts_v05.csv"
"analytical_context","PRC_VIETNAM_RIVALRY","PRC-Vietnam Rivalry","中越対立／中国・ベトナム対立","controlled_vocabulary_analytical_contexts_v05.csv"
"analytical_context","REGIONAL_IDEOLOGICAL_CONFLICT","Regional Ideological Conflict","地域的イデオロギー対立","controlled_vocabulary_analytical_contexts_v05.csv"
"analytical_context","REGIONAL_SECURITY_IN_SOUTHEAST_ASIA","Regional Security in Southeast Asia","東南アジアの地域安全保障","controlled_vocabulary_analytical_contexts_v05.csv"
